,channel_name,channel_id,real_state,lat_long,transcript_count,wordcount
560,centervillecityutah,UCqZ-L_LnFpbGbsBRKz4QFHA,Utah,"(40.9180005, -111.8721601)",88,1374124
180,"City of Mobile, AL",UCdLrEwf3ewSNmCNm21fVfNg,Alabama,"(30.6953657, -88.0398912)",160,1371622
148,City of Kerrville - Government,UCRt2JqXbobR1471dyOn5MJA,Texas,"(30.0469117, -99.1409022)",198,1343243
171,"City of Marshall, MN - Studio 1 TV",UCQN3dBrZlxrHNc6G0HTnIZA,Minnesota,"(44.454693, -95.758934)",195,1339905
243,City of Waverly,UCmAJkXjXePDZKkxPOPpeJpQ,Iowa,"(42.7272032, -92.4668511)",124,1337579
194,City of Nowthen MN,UCydgQQVA1NUIh3PUbWeZ04w,Minnesota,"(45.3324984, -93.44670149999999)",121,1321518
208,City of Reno,UClQT7q90igEYqA17nm-WwhQ,Nevada,"(39.5296329, -119.8138027)",810,1310636
535,Wallingford Government Television,UCdWP8OnNWc1nyrtewoqYRpQ,Connecticut,"(41.4864179, -72.7907814)",125,1308793
509,Town of Old Saybrook Video Library,UCwq-kallXEqCHOy9C35r34A,Connecticut,"(41.2902388, -72.3744107)",180,1295841
225,City of Santa Clara,UCBMGaWSyRhcGxg0fSG4msDA,California,"(37.3541079, -121.9552356)",116,1284931
396,MetroNashville,UCKpWDnPeJ9IQ9Sx7AfBORhg,Tennessee,"(36.1626638, -86.7816016)",483,1241689
542,Washington State Government,UCsuYgYm8vWyUNUfI3CMzuSQ,Washington,"(48.0421802, -122.7907344)",265,1192334
423,Newark City Council,UCWZ28Fau9gZ1D0U8F2L6UKg,Ohio,"(40.057701, -82.4040069)",203,1192041
72,"City of Bloomington, Illinois",UCS8WR70NFd2XMmFYRDHEGEw,Illinois,"(40.4842027, -88.99368729999999)",98,1170127
226,"City of Santa Maria, California",UCAmcDZPVzV6jUnVIof3F7dw,California,"(34.9530337, -120.4357191)",160,1169709
248,City of Willmar,UCtCdc2xGb0Hvrk6dd5OpmoA,Minnesota,"(45.1223711, -95.048659)",198,1147991
264,CityofGenevaIL,UCobt6LRW-pMEmfGNVuy5NxA,Illinois,"(41.8875281, -88.3053525)",142,1133297
261,CityofDestin,UCn_D1Iq1xxZhrkenq1d7EYA,Florida,"(30.3935337, -86.4957833)",137,1132076
557,Woodland Park Colorado,UCeKKRfEM3cKxDB3yz19_eDQ,Colorado,"(38.9938808, -105.0569301)",137,1124621
29,CHANNEL 17/ TOWN MEETING TV,UCJkWMLSqRNKLoyUZQiNoAcQ,Vermont,"(44.48777330000001, -73.20746150000001)",359,1098283
206,"City of Post Falls, Idaho",UC7PL9bReR18BlDnsmiOlraw,Idaho,"(47.7179578, -116.9515856)",164,1077860
228,City of Saratoga Springs,UCL97Ck7JMecdpmZLudfVhPQ,Utah,"(40.3301898, -111.9044877)",81,1077303
222,City of San Clemente,UCMJuEbFMmHeG8RBe-m6s7JQ,California,"(33.4273521, -117.6126004)",88,1068626
67,"City of Beaumont, Ca",UCvvsX3mVAdUeT7KLJnFgHYA,California,"(33.9294606, -116.977248)",105,1067822
18,Beaufort County NC Government,UCucOU3BykLPoXU2KjvX3CCg,North Carolina,"(35.5432661, -77.0547823)",79,1031079
523,Troy Ohio Videos,UCNnrSMWnG45jXoMSlwVFSNg,Ohio,"(40.0439807, -84.2023645)",391,1014613
191,City of Newberry,UC9MNwMuigm3PeKHacwz2xQQ,Florida,"(29.6463535, -82.6065023)",81,1005538
564,cityofokc,UCu7sVASWMRZ6V6F7EebBlbA,Oklahoma,"(35.471589, -97.4638281)",90,994539
350,"Johnson County, KS Government",UCUMpFQU8E0ifkWVrRz46tyQ,Kansas,"(38.9147113, -94.79942009999999)",246,982013
220,City of San Angelo,UCg9JRjdLIq0ZTMHn1fioiJw,Texas,"(31.4637723, -100.4370375)",125,972023
1,Adams County CO Government,UC7KDbF1XykrYlxnfhEH5XVA,Colorado,"(39.9239028, -104.8126509)",372,951181
556,WoodburyCountyIowa,UC7eJFP8TlXCX8V3sDDaePBA,Iowa,"(42.3166158, -95.9832577)",145,940993
302,"Eagle Mountain City, Utah",UCE6PWygb_g-qDncu6tkhU-g,Utah,"(40.31411689999999, -112.006882)",78,932357
132,"City of Hendersonville, TN",UCy-XOO0Miyy8QIuE4B4fRuA,Tennessee,"(36.3047735, -86.6199957)",79,919093
287,Cumberland County PA - Commissioners,UCDuoEW_vCX40aemvNS9RnKw,Pennsylvania,"(40.20116700000001, -77.188848)",248,917493
324,Germantown Municipal Television,UC4td-0odYtwzyFJSF6jN34w,Tennessee,"(35.0971915, -89.8414354)",188,893063
339,Humboldt County Iowa,UCZ6V3dlCIihapzhYTHjpCxw,Iowa,"(42.7482597, -94.19234000000002)",100,883680
404,"Mitchell, SD",UCOdLoS0nXWs5c1ejBbdrZNQ,South Dakota,"(43.7094283, -98.0297992)",89,860663
520,Township Council Meetings,UCqFPQ63LV3q5cA_yjnCnsmA,Washington,"(39.7397316, -75.0685712)",39,856804
182,"City of Moore, Oklahoma",UCak9ErtW71dyEoj7TmLlqHw,Oklahoma,"(35.3395079, -97.48670279999999)",334,855275
466,SCCMOTV,UClZsKsIKtPJkYwn1BtJgAFA,Missouri,"(37.9642529, -91.8318334)",411,851759
164,City of Lowell,UCeObjQ4b9fmrV22EiBb5KSA,Michigan,"(42.9336426, -85.34196089999999)",172,845497
439,Ottumwa Iowa,UCSPVpWJuu42NT03S9XgFFAA,Iowa,"(41.01602930000001, -92.40830220000001)",74,834589
525,Utah County Government,UCkRYDnXVDLGv9792bhWn9Wg,Utah,"(40.2330328, -111.6568586)",69,829029
218,"City of Saginaw, MI",UCTezqtA8UmUTHS_s4F9-Hpw,Michigan,"(43.4194699, -83.9508068)",140,825734
433,Oklahoma County,UCz_5jEcl6kV8f6Y71exwfJA,Oklahoma,"(35.6038323, -97.35165579999999)",184,821642
69,City of Bellevue Nebraska,UCZc74_1IgTNR4-YuLknTAJw,Nebraska,"(41.1543623, -95.9145568)",138,820018
233,City of Sioux City Council,UCrekGAbOEqDvdzn9w8FAcoQ,Iowa,"(42.4965857, -96.40594519999999)",69,815943
282,County Of Del Norte,UC7jaWC4x7QAq1bgC2L-aYvw,California,"(41.7076287, -123.9659708)",75,812758
59,City of Asheville,UC2QG4OKWo8tQ-h3fAwxr4eg,North Carolina,"(35.5950581, -82.5514869)",217,810924
70,City of Bellingham Washington,UCtKY2DeY9GkBr35opV7E2Lg,Washington,"(48.7519112, -122.4786854)",238,808021
234,"City of Springdale, Arkansas",UCDBXZsuggNDRY1QTEqH2MQg,Arkansas,"(36.18674420000001, -94.1288141)",83,790127
64,"City of Bakersfield, CA.",UCk3BaR0DdO7j_bZSKnIEK4w,California,"(35.3732921, -119.0187125)",108,783604
532,VirginiaBeachTV,UCe1QmZhxHuuZuUdQ9FtzTcA,Virginia,"(36.8529263, -75.97798499999999)",425,779993
298,Digital Peoria,UCr2anV7zsCAo1Rvjga7nYEA,Arizona,"(33.6282856, -112.2392489)",193,778059
229,City of Savannah,UCNaTc-Sjmlyby6XoBK8ZtrQ,Georgia,"(32.0808989, -81.091203)",328,761374
78,"City of Brandon, SD",UCkupAgckAKVqifovUqXw_TQ,South Dakota,"(43.5946963, -96.5719896)",70,751270
370,LawrenceburgIN,UCQ2JDPkIH-LfT_WRhvrYOMA,Indiana,"(39.090891, -84.8499504)",121,746734
494,The City of Irving,UCnakJoKIjNzMALPhHXxwFEA,Texas,"(32.8140177, -96.9488945)",422,745804
113,"City of Ellsworth, Maine",UCAoSufogSQbl5N5AtUIid4Q,Maine,"(44.5434095, -68.4194641)",93,740138
538,"Warren County, Virginia",UC4VkJGpBCNGqrwOEuxZSQoQ,Virginia,"(38.9331749, -78.24761459999999)",62,738266
488,Taneytown MD,UCQ7oudT2tx4u4P81ClUD6Hg,Maryland,"(39.6578773, -77.1744279)",108,731145
53,"City of Alice, TX",UC_9x9G-IMyGx4zPHxawQr5A,Texas,"(27.7522487, -98.0697249)",84,730358
284,"County of El Paso, Texas Commissioners Court Public Meetings",UC-2RxYOS6Y6VkDlp5eM0OLA,Texas,"(31.7582637, -106.4841176)",52,730180
394,Mendocino County Video,UCSYcX7uSxr-GyRh20JtuwFg,California,"(39.2917155, -123.7544678)",74,725234
552,Will County Board,UCfyLcOmTH_aH_aIgCtUgnBg,Illinois,"(41.5300049, -88.08104469999999)",84,717067
134,"City of Hot Springs, Arkansas Government",UCvSlS0dSXw_50XhzT9E_kMA,Arkansas,"(34.5037004, -93.0551795)",173,709121
242,City of Warrenville,UCcO8hN6YoUmWZrDFNASMzAQ,Illinois,"(41.81780699999999, -88.17340209999999)",88,707738
68,City of Belleville Council Meetings & Misc. videos,UCgQcRTdHErSn7yG1AP742Vg,Illinois,"(38.5122211, -89.9843597)",101,707062
545,Webster Massachusetts,UC1GDU6rDxjb7u7c9NnBm8qw,Massachusetts,"(42.05009099999999, -71.88006279999999)",86,702541
125,City of Georgetown,UCZeRkYcroXWINV1rkHVlhzw,Kentucky,"(38.2097967, -84.55883109999999)",66,687612
81,"City of Bristol, VA",UCsXxrQvvnpoAC60lEn67FhQ,Virginia,"(36.595141, -82.1888089)",52,685060
139,"City of Iola, Kansas",UCv4LYM8hh3qeJL32-kR2moA,Kansas,"(37.9244799, -95.3999814)",80,653054
517,Town of Whitestown,UCpbwXmmh-voRDSN3qtn5Hfw,Indiana,"(39.9972626, -86.3458296)",178,649820
392,Marysville City Hall,UCrPPJ9eQiOxWf3ZisFjK3qQ,Kansas,"(39.842909, -96.648336)",36,646376
452,PlattevilleWISC,UC6UORZ8U7NlaS3giNhyuAaA,Wisconsin,"(42.73416, -90.4784621)",88,632901
262,CityofDurhamNC,UCHUDjJ4VIFaf3a9ap9s5qEA,North Carolina,"(35.9940329, -78.898619)",245,616101
193,City of Nogales Arizona,UC2CaTc0tirQupKj3y2zIQSg,Arizona,"(31.3403775, -110.9342532)",82,613205
508,Town of New Milford,UCy-PHUq7KONS5ytwwbiyMdA,Connecticut,"(41.5778088, -73.4101187)",54,607686
368,"Laramie, Wyoming - City Government",UCtoowHqhTpkeVR14Rey_VGQ,Wyoming,"(41.3116389, -105.5918231)",44,601331
7,"Ally Miller, Pima County District 1 Supervisor",UC79IZA1RmoYaLOFWLbqY2fQ,Arizona,"(32.221975, -110.9736346)",285,592423
257,Cityof Wayne,UCwr-VD-I64VKtBOqg6jNXxQ,Michigan,"(42.2814269, -83.3863214)",40,584864
13,BEDFORD TOWNSHIP GOVERNMENT CENTER,UCb8mpGZJzyC5LmYOC2VKSvQ,Michigan,"(41.7630647, -83.5852664)",55,580399
547,West Virginia Judiciary,UC_zHDYG-Whdzh7nQPyfsItg,West Virginia,"(38.3368502, -81.6111525)",76,579516
330,Groton Municipal Television,UCBk-9Ahudi4nbh26x3jZxlA,Connecticut,"(41.3497456, -72.0790717)",120,574055
47,City Of Fort Morgan,UCo7J2v3KqEOx45rG-GxlJOg,Colorado,"(40.2502582, -103.7999509)",49,570497
419,New Jersey Government,UCUsNf-kiBIzayz14C59tKUQ,New Jersey,"(40.218798, -74.764752)",827,555652
450,PittCountyNC,UCNbby4KXClggL9c-kVrpFww,North Carolina,"(35.5589221, -77.4242972)",291,553571
348,James City County,UC1YcYMSX__2VbO2Mi3udVRw,Virginia,"(37.3002132, -76.8028933)",160,551071
89,City of Charlotte,UCr8xW9jfl6OiwjQuRwX4bWQ,North Carolina,"(35.2270869, -80.8431267)",87,550916
251,CityOfBeatriceNE,UCNqBm24raflfC7qGBgqLQbQ,Nebraska,"(40.2659269, -96.7466913)",95,550665
115,"City of Evanston, IL",UChIEhm-DpDtCj0aEKKe_O9A,Illinois,"(42.0450722, -87.68769689999999)",203,548068
504,Town of Coventry Rhode Island,UC-C8lpWeCKplTv8DDVh64aA,Rhode Island,"(41.6885978, -71.5642076)",35,545758
460,Rappahannock News,UCfrlkifp1NKxUnONQi4IFqA,Washington,"(38.7125007, -78.15999029999999)",52,527958
539,WashCo Commissioners,UCTH850WDpvgeJXEI6Bp-nwg,Maryland,"(39.64347710000001, -77.72278229999999)",70,524218
519,TownofCohasset,UCtPH47tVZoFwqFm8nN7JrMw,Maine,"(42.24176749999999, -70.8036544)",53,523101
48,"City Of Mayer, MN",UC76IJmnDuxPuOAjO_qTvuOQ,Minnesota,"(44.8849625, -93.88774529999999)",62,513849
430,Northglenn Colorado,UCqtvPKHWSX-ukNYDjPYH6ug,Colorado,"(39.8961821, -104.9811468)",111,512518
187,City of New Carlisle,UChfm1EBjjw6A2GbexgDZ_ag,Ohio,"(39.9361699, -84.0254913)",79,512493
375,LivoniaTV,UC81D_yBDdwEXucKYYvCnXOQ,Michigan,"(42.36837, -83.35270969999999)",142,509210
286,Coventry Meeting,UCJSTZH1geFoNt2VH2lHEGGg,Rhode Island,"(41.6993579, -71.54891099999999)",120,504921
338,HopeCity NC,UC2NXXKwoDujEJ38TJufBNTg,North Carolina,"(36.0024462, -80.1493969)",143,499776
36,"Caribou, Maine",UCunLIlhYrhdsdvfjRKYCYdQ,Maine,"(46.8639995, -67.9980365)",75,491816
565,cityofsantafe,UCTgU_rclEQSW7XN-sgaCUBA,New Mexico,"(35.6869752, -105.937799)",266,487685
501,Town of Brighton,UCRac-30bEStYoqUvi6HkiWw,New York,"(43.1222716, -77.57340479999999)",42,485993
63,City of Aztec,UCfNiVUYD4XKKwxOhtNvCauA,New Mexico,"(36.8222261, -107.9928455)",67,482425
458,Provo City Council,UC1yR7j8igrjxXOR0XsCasfw,Utah,"(40.233174, -111.664711)",47,477523
388,Marshall County Iowa,UC2SRE_isBm8PyHrZNXf3nsA,Iowa,"(42.0407088, -92.9375739)",80,477102
58,"City of Arlington, TX",UCmEJ9qX33iCpEKauFojkybg,Texas,"(32.735687, -97.10806559999999)",1079,471437
237,City of Stayton,UCVALQZk-x5ZMWOCGh_fKPtg,Oregon,"(44.8006775, -122.7945333)",48,461873
196,"City of Old Town, Maine",UCnnzsRkjzkSJQjzHjys6zGw,Maine,"(44.9342349, -68.6453092)",78,455417
278,Contra Costa Television,UCD1z6XC8_fqZXP3HayI-kQA,California,"(37.9952189, -122.1220089)",60,453592
409,Montgomery County TN Government,UColCy-INQM4uZSqrJCeHTGg,Tennessee,"(36.5268508, -87.35801350000001)",65,449041
563,cityofminneapolis,UC1IHi7mIMbFhZo4j_H6QIsA,Minnesota,"(44.977753, -93.2650108)",51,449014
574,showmecity,UCpaZmht_7_Zvunux1zkDt0w,Missouri,"(39.1117837, -94.56087509999999)",240,447709
303,East Windsor CT,UCgNSFYXWvjpaYULSt-XoZOA,Connecticut,"(41.9161361, -72.5578799)",31,444761
44,City Channel Columbia MO,UCMvapUGDpxyLUUWNO8fxkdA,Missouri,"(38.9517053, -92.3340724)",300,443549
214,"City of Rochester, NY .Mayor's Office",UC6E4c_jmhJPH7kR_GKnbpug,New York,"(43.1569913, -77.6148934)",327,442371
540,Washington City Utah,UCYhIA2-MogiT4VZA4ru7p3Q,Utah,"(37.1305373, -113.5082867)",71,437516
138,"City of Independence, Missouri",UC95egG4Say-HvNrlJT_yCXg,Missouri,"(39.0911161, -94.41550679999999)",112,434613
451,Pittsylvania County Virginia,UCBZbT6gifgJPXGq9Rt7z5lw,Virginia,"(36.7440186, -79.4703885)",60,434142
133,City of Horace,UCHdzO6P-1enZkMG7Z87QdGA,North Dakota,"(46.7588553, -96.9036971)",45,434077
145,"City of Jacksonville, Alabama",UCvjFmKc5lozHgaRQ6wB8D_Q,Alabama,"(33.8137125, -85.76135359999999)",83,432634
516,Town of Waxhaw NC,UCaVNojVBJdyFHzC1zkvhK7w,North Carolina,"(34.9245935, -80.7434019)",87,431600
2,Akron City Council,UCTRzlObsoxdg6IFgWSFCOgA,Ohio,"(41.0806037, -81.518214)",65,430509
169,City of Marion Illinois,UCUKL9LxylG4TP8YgVSaSwjQ,Illinois,"(37.7306054, -88.9331256)",72,430117
94,City of Columbia,UC6-Zkaz4V41CKJRyqTNAzTg,South Carolina,"(34.0007104, -81.0348144)",300,428193
567,eGov PDX,UCcPIUh7CWwtBXisMPHWG65g,Oregon,"(45.5122308, -122.6587185)",24,424573
531,Virginia Government,UCJmtQnnG2MwpHnSMzVj0siQ,Virginia,"(37.5392253, -77.4319501)",127,422756
479,"Story County, Iowa",UCTLajnmHYlpovDrzvgi0hMw,Iowa,"(42.1040438, -93.5003454)",97,420122
378,Louisiana Gov,UCu6XLJo8g_k5IZX6sjpV14A,Louisiana,"(30.4497659, -91.1088991)",146,418533
199,City of Park City,UCKWmOfUwmKPzAyvzvEvhs5A,Kansas,"(37.8000123, -97.31837619999999)",45,418142
578,warren-ma.info,UCSemWSWv9vohWfvvyHaYAlA,Massachusetts,warren-ma.info,60,416651
511,Town of Rising Sun,UCVhXWOvvPRbCJ24IyH2tZyg,Maryland,"(39.6978871, -76.06272659999999)",76,416255
311,Falls Township PA,UCXkR2V1sBOCmVB3S5aHEjTA,Delaware,"(40.1740577, -74.8530595)",46,414368
209,City of Republic,UCmvA973eokxbVlHVODl-1_A,Missouri,"(37.1200526, -93.4801942)",65,413258
296,Delaware County Government,UCGw1znI7YHoxXgqqMJZnZwQ,Indiana,"(40.1942895, -85.3873354)",84,411872
83,"City of Brooklyn, Ohio",UCRRKkTWR8peOgYgo4JvhxWA,Ohio,"(41.4301349, -81.7512107)",56,401440
332,HardinCountyIA,UCldvOvGdfCT76xAGFpJ5u7Q,Iowa,"(42.4285425, -93.17796589999999)",117,401232
165,City of Madison Wisconsin,UC3IAPMgYfaBEJ5eeqbvWkzQ,Wisconsin,"(43.0730517, -89.4012302)",118,396484
561,cityofhayward,UC-t5eCY7p3nbBalxbMP9vFQ,California,"(37.6708446, -122.0857338)",80,394984
90,"City of Cloverdale, Cloverdale, CA",UCDSDDT0okjoOrRhJaetPRbQ,California,"(38.8054624, -123.0172227)",27,385578
495,The Municipal Art Society of New York,UC85K3UNE3_ZnDaDJUOWwedw,New York,"(40.7589167, -73.9752018)",135,385487
470,Saint Francis MN,UCC44uGV-mS_2SCvUhBy_scA,Minnesota,"(45.3974847, -93.38792199999999)",58,383199
230,"City of Shenandoah, Texas",UC5-9qrdkO9wip4I0vyCXq9g,Texas,"(30.1802151, -95.45577259999999)",29,373362
98,City of Cordova Alaska,UC5pGOg0PI8_MuUIJScsw6Gw,Alaska,"(60.5424087, -145.7525414)",27,367791
308,Essex County New York,UCUTiUCto7MsxIbqK5M1rMrA,New Jersey,"(40.8398218, -74.2765366)",107,365240
56,"City of Anderson, Indiana",UCMDJQTb1x8xHky-Jxmu8PIA,Indiana,"(40.1053196, -85.6802541)",153,361160
326,Governor Asa Hutchinson,UCLJcNdgp2PMEmiqJEoYzqwQ,Arkansas,"(34.7469468, -92.2889342)",198,359920
8,Amherst Council Clerk,UCVbdl2V5DTld5jQ-TSnz5cw,Ohio,"(41.39825099999999, -82.227454)",91,355034
50,City of Aberdeen,UC2WDoaiGN9nFc1Zb4pyfpyw,South Dakota,"(45.4646985, -98.4864829)",70,350540
45,City Of Cortez Council Meetings,UCuJXUzV7IZDST9p2BLMGA7g,Colorado,"(37.3503413, -108.5695371)",44,345298
197,City of Oroville,UCAoRW34swYl85UBfYqT7IbQ,California,"(39.5137752, -121.556359)",37,345142
554,"Winnebago County, Iowa",UCRYede2wUgnmNZpYlSRCDDg,Iowa,"(43.3481922, -93.66232389999999)",43,341808
393,McDowell County Government - North Carolina,UC0mTfn8VlbzCAPoS4ypHSbQ,North Carolina,"(35.6839474, -82.0082269)",32,339813
275,Columbus Municipal School District - MS,UC5aQEWlv0bv0RfURb9dIEeA,Mississippi,"(33.5403856, -88.4210006)",38,335470
168,City of Maricopa,UCcGYzD73sGc7P9gH6kZJC3A,Arizona,"(33.0581063, -112.0476423)",115,331866
40,"Cedar City, Utah - City Council",UCvv1r4z0JQJjAIgeLmMGmbA,Utah,"(37.6777847, -113.0610041)",34,331230
414,"NEK-TV Newport, VT",UCKV7WVHOpRCBCwKh6P_O7iw,Vermont,"(44.943332, -72.192562)",32,328207
258,CityofAikenSC,UCHtMErIZ0_lu5v3kJAzPitg,South Carolina,"(33.5604168, -81.7195533)",54,326348
518,Town of Wiggins,UCLfzJYfsilF0D3dQGKMpGbw,Colorado,"(40.2305363, -104.0727278)",20,322000
88,City of Charleston SC,UCxDws_o-1voXBNOAZ17gZxw,South Carolina,"(32.7764749, -79.93105120000001)",32,321594
306,"Erie County, Pennsylvania - Government",UCDEhxGyYjgZkYrLb-NGeq2g,Pennsylvania,"(42.1291683, -80.0879985)",72,318927
253,CityOfNormanOK,UCRUefgW2qlHl6uJwIS7KQXQ,Oklahoma,"(35.2225668, -97.4394777)",71,313074
162,City of Livingston CA,UCB_ZmQZIHELh-ECEPZ2VwZg,California,"(37.3868826, -120.7235329)",24,310726
505,Town of Emmitsburg,UC17xHnkC_VLkirblkEBdIDQ,Maryland,"(39.7045417, -77.32693069999999)",54,310096
310,FaithCity MD,UC3cUrijYglWHJ81RrZ_jNUw,Maryland,"(38.8354067, -76.8628623)",30,306038
129,"City of Greenville, NC",UC3Ud91UVasbpi8wPVDlcCRA,North Carolina,"(35.612661, -77.3663538)",378,304219
281,Council Meetings - City of Rochester Hills,UCRzGsdrhFdimra0g1Gw4HqA,Michigan,"(42.6833372, -83.1372157)",17,298263
159,"City of Liberty Lake, WA",UCP0FovX6g8NG4J5wKDLt62A,Washington,"(47.6743428, -117.1124241)",26,281932
